symbol,main pnl,hedge pnl,total pnl,trade count
ORCL,-40.39449066281042,36.32839715066185,-4.066093512148569,2
PANW,121.78902727232466,-92.67089084953906,29.118136422785597,3
PEP,31.20404117910347,-38.75238880183011,-7.548347622726638,1
PFE,-1.6865488005935987,2.1662363040877253,0.4796875034941266,6
PG,112.72613129638528,-65.69040124360292,47.035730052782355,6
PGR,-41.90103929801758,-7.399075838201895,-49.300115136219475,4
PLD,70.76856658926489,-70.88148312180272,-0.11291653253782385,4
PM,-49.721930636984155,-69.53370866797268,-119.25563930495683,6
QCOM,173.61680696264227,-175.67721348493353,-2.0604065222912595,2
RTX,26.863739346207783,-52.64062092206888,-25.776881575861093,1
SBUX,62.07225859481935,54.16241325678603,116.23467185160538,4
SCHW,81.84723367304036,-155.125422878279,-73.27818920523865,3
SPGI,8.529687917268273,-38.20518381086549,-29.67549589359722,4
SYK,116.36423242450044,-92.77321869768471,23.59101372681573,2
T,-46.562851286626966,-2.583983527684068,-49.146834814311035,3
TJX,0.8199196144897982,40.60199808562693,41.42191770011673,8
TMO,10.212142620668718,33.43223931691629,43.64438193758501,2
TMUS,-96.66104216212568,-13.050968761211305,-109.71201092333699,6
TSLA,-180.01333400033047,37.257347879892826,-142.75598612043765,2
TXN,-146.11767983933842,166.80397054502055,20.686290705682126,3
UNH,15.159050669425245,-13.89990744993444,1.259143219490804,1
UNP,85.33913911565861,-81.0966295336087,4.242509582049905,6
V,92.43790612233161,-59.11104156349557,33.32686455883604,5
VRTX,-28.39365179380149,-8.807498645811823,-37.201150439613315,1
VZ,9.576250897773475,-15.187826773290801,-5.611575875517326,1
WFC,-60.06364359586303,-16.266482361248613,-76.33012595711165,1
WMT,12.610684857557118,25.099732098771426,37.710416956328544,2
XOM,29.275487102701,-13.640447402072326,15.635039700628674,2
